id;title;description;availability;condition;price;sale_price;link;image_link;brand;custom_label_0
2,01E+12;Omarica MOBIUS 2D: hrast;dimenzije: 78/60/179 cm,  material: laminirana iverna plošča, ABS robovi, push-clik mehanizem,  barva: hrast hikora/hrast hikora           Kaj je MOBIUS?  MOBIUS je modularni pohištveni sistem, ki ponuja neskončne možnosti ustvarjanja. Prilega se vsakemu domačemu prostoru, postavitev pa si lahko sestavite sami. Izbirate med tremi višinami okvirjev in širokim naborom elementov omarice sistema. Omogoča vam, da ustvarite optimalno izkoriščen prostor za delo, igro ali shranjevanje.           Zdolgočaseni nad monotonostjo?  Potem je to prava rešitev za vas. Fronte so na voljo v 5 različnih barvah: naravni hrast, alpsko bela, prašno siva, pastelno roza in svetlo modra bodo popestrile vsako notranjost. Izberite in sestavite po željah, dokler ne najdete popolnega ujemanja. Pustite domišljiji prosto pot in ustvarite svoj unikaten komplet.     Pohištvo MOBIUS je narejeno na Poljskem, ustvarjeno pod ustvarjalno domišljijo oblikovalke Agnieszke Okońske.    Mansarda na podstrešju?  Nič lažjega! Izberite pravi okvir in načrtujte prostor tako, da garnituro prilagodite geometriji vseh vrst prostorov.     Dnevna, predsoba, podstrešje ali otroška soba!  Tudi veliko število igrač in knjig bo tukaj našlo svoje mesto. Starejši otroci pa bodo cenili tudi mizni modul, ki nudi udoben prostor za učenje in igro.               ;in stock;new;314.27 EUR;;https://www.funtrade.net/omarica-mobius-2d-hrast.html;https://www.funtrade.net/pub/media/catalog/product/3/4/34921e58da765a19c1d39bb82f7025733885d4a1754bfda7f695c3ae9b390586.jpeg;HM;1944,2841
2,01E+12;Omarica MOBIUS 2D: hrast/modra;dimenzije: 78/60/179 cm  material: laminirana iverna plošča, ABS robovi, push-clik mehanizem  barva: hrast hikora/modri horizont     Kaj je MOBIUS?  MOBIUS je modularni pohištveni sistem, ki ponuja neskončne možnosti ustvarjanja. Prilega se vsakemu domačemu prostoru, postavitev pa si lahko sestavite sami. Izbirate med tremi višinami okvirjev in širokim naborom elementov omarice sistema. Omogoča vam, da ustvarite optimalno izkoriščen prostor za delo, igro ali shranjevanje.           Zdolgočaseni nad monotonostjo?  Potem je to prava rešitev za vas. Fronte so na voljo v 5 različnih barvah: naravni hrast, alpsko bela, prašno siva, pastelno roza in svetlo modra bodo popestrile vsako notranjost. Izberite in sestavite po željah, dokler ne najdete popolnega ujemanja. Pustite domišljiji prosto pot in ustvarite svoj unikaten komplet.     Pohištvo MOBIUS je narejeno na Poljskem, ustvarjeno pod ustvarjalno domišljijo oblikovalke Agnieszke Okońske.    Mansarda na podstrešju?  Nič lažjega! Izberite pravi okvir in načrtujte prostor tako, da garnituro prilagodite geometriji vseh vrst prostorov.     Dnevna, predsoba, podstrešje ali otroška soba!  Tudi veliko število igrač in knjig bo tukaj našlo svoje mesto. Starejši otroci pa bodo cenili tudi mizni modul, ki nudi udoben prostor za učenje in igro.         ;in stock;new;314.27 EUR;;https://www.funtrade.net/omarica-mobius-2d-hrast-modra.html;https://www.funtrade.net/pub/media/catalog/product/5/f/5f25f576434e95bd8b82c39f636b34e54307fd13ee86e960f603ef326544f7e9.jpeg;HM;2840,2841
2,01E+12;Omarica MOBIUS 2D: hrast/siva ;dimzijene: 78/60/179 cm  material: laminirana iverna plošča, ABS robovi, push-clik mehanizem  barva: hrast hikora/siva dusty     Kaj je MOBIUS?  MOBIUS je modularni pohištveni sistem, ki ponuja neskončne možnosti ustvarjanja. Prilega se vsakemu domačemu prostoru, postavitev pa si lahko sestavite sami. Izbirate med tremi višinami okvirjev in širokim naborom elementov omarice sistema. Omogoča vam, da ustvarite optimalno izkoriščen prostor za delo, igro ali shranjevanje.           Zdolgočaseni nad monotonostjo?  Potem je to prava rešitev za vas. Fronte so na voljo v 5 različnih barvah: naravni hrast, alpsko bela, prašno siva, pastelno roza in svetlo modra bodo popestrile vsako notranjost. Izberite in sestavite po željah, dokler ne najdete popolnega ujemanja. Pustite domišljiji prosto pot in ustvarite svoj unikaten komplet.     Pohištvo MOBIUS je narejeno na Poljskem, ustvarjeno pod ustvarjalno domišljijo oblikovalke Agnieszke Okońske.    Mansarda na podstrešju?  Nič lažjega! Izberite pravi okvir in načrtujte prostor tako, da garnituro prilagodite geometriji vseh vrst prostorov.     Dnevna, predsoba, podstrešje ali otroška soba!  Tudi veliko število igrač in knjig bo tukaj našlo svoje mesto. Starejši otroci pa bodo cenili tudi mizni modul, ki nudi udoben prostor za učenje in igro.      ;in stock;new;314.27 EUR;;https://www.funtrade.net/omarica-mobius-2d-hrast-siva.html;https://www.funtrade.net/pub/media/catalog/product/7/a/7aa53d03271d3e67e66205aa739289a089b582eb3947a386be6db15aceeef0af.jpeg;HM;1944,2839,2841
2,01E+12;Komoda HM MURANO KM-1 artisan hrast/črna;Moderna komoda HM Murano KM-1 v artisan hrast/črni barvi.  Za popestritev vašega dnevnega prostora v industrijskem stilu.     Komoda HM Murano KM-1 je izjemno eleganten predlog za sodobno in izvirno notranjost. Inovativna oblika je izdelana iz rezkanih front in barvne kombinacije črnega in artisan hrasta. Funkcionalnost komode KM-1 zagotavlja veliko prostora za shranjevanje. Visok značilen okvir komode je dekorativni poudarek v celotni notranjosti.       Dimenzije: 160/40/86 cm  Material: laminiran MDF / laminirana iverna plošča / prašno lakirano jeklo  Barva: artisan hrast / črna  ;in stock;new;390.40 EUR;;https://www.funtrade.net/komoda-hm-murano-km-1-artisan-hrast-crna.html;https://www.funtrade.net/pub/media/catalog/product/k/o/komoda_murano_km1__3.jpg;HM;2912,2554,1940,1944
2,01E+12;Komoda HM MURANO KM-2 artisan hrast/črna;Komoda HM MURANO KM-2 v artisan hrast/črni barvi.  Za popestritev vašega dnevnega prostora v industrijskem stilu.  Komoda KM-1 je izjemno eleganten predlog za sodobno in izvirno notranjost. Inovativna oblika je izdelana iz rezkanih front in barvne kombinacije črnega in artisan hrasta. Funkcionalnost komode KM-1 zagotavlja veliko prostora za shranjevanje. Značilen okvir komode je dekorativni poudarek v celotni notranjosti.       dimenzija: 80/40/86 cm  material: laminiran MDF / laminirana iverna plošča / prašno lakirano jeklo  barva: artisan hrast / črna  ;in stock;new;308.42 EUR;;https://www.funtrade.net/skrinja-hm-murano-km-2-artisan-hrast-crna.html;https://www.funtrade.net/pub/media/catalog/product/b/f/bf7a6b4a53e2eecd10bf81cd3b55c1b6c03db8065d4bde2b6fa9e4dad13244cd.jpeg;HM;2912,2554,1940,1944
2,01E+12;Omara HM MURANO KM 3 artisan hrast/črna;Moderna komoda HM Murano KM-1 v artisan hrast/črni barvi.  Za popestritev vašega dnevnega prostora v industrijskem stilu.  Omara HM je izjemno eleganten predlog za sodobno in izvirno notranjost. Inovativna oblika je izdelana iz rezkanih front in barvne kombinacije črnega in artisan hrasta. Funkcionalnost omare zagotavlja veliko prostora za shranjevanje. Značilen okvir omare je dekorativni poudarek v celotni notranjosti.       dimenzije: 100/40/156 cm  material: laminiran MDF / laminirana iverna plošča / prašno lakirano jeklo  barva: artisan hrast / črna  ;in stock;new;443.10 EUR;;https://www.funtrade.net/omara-hm-murano-km-artisan-hrast-crna.html;https://www.funtrade.net/pub/media/catalog/product/0/5/05727411f88582b146f5b9bb31f97324dfb8e2daea3605266a60988c07eb40ff.jpeg;HM;2912,2554,1944,2212
2,01E+12;Klubska mizica HM MURANO LAW-1 artisan hrast/črna;Moderna klubska mizica HM Murano LAW-1 v artisan hrast/črni barvi.  Za popestritev vašega dnevnega prostora v industrijskem stilu.     Mizica je izjemno eleganten predlog za sodobno in izvirno notranjost. Inovativna oblika je izdelana iz rezkanih front in barvne kombinacije črnega in artisan hrasta. Funkcionalnost mizice zagotavlja veliko prostora za shranjevanje. Značilen okvir mizice je dekorativni poudarek v celotni notranjosti.       dimenzije: 110/60/46 cm  material: laminiran MDF / laminirana iverna plošča / prašno lakirano jeklo  barva: artisan hrast / črna  ;in stock;new;203.01 EUR;;https://www.funtrade.net/klubska-mizica-hm-murano-law-1-artisan-hrast-crna.html;https://www.funtrade.net/pub/media/catalog/product/d/0/d071b7f5152b490daea46b669217c81ccbaacd5c3c28920edc2a9bdc95aa5d9b.jpeg;HM;2912,2554,1765
2,01E+12;TV komoda HM MURANO RTV-1 artisan hrast/črna;Moderno TV Stojalo HM Murano RTV-1 v artisan hrast/črni barvi.  Za popestritev vašega dnevnega prostora v industrijskem stilu.     Stojalo je izjemno eleganten predlog za sodobno in izvirno notranjost. Inovativna oblika je izdelana iz rezkanih front in barvne kombinacije črnega in artisan hrasta. Funkcionalnost stojala zagotavlja veliko prostora za shranjevanje. Značilen okvir stojala je dekorativni poudarek v celotni notranjosti.       mere: 150/40/61 cm  material: laminiran MDF / laminirana iverna plošča / prašno lakirano jeklo  barva: artisan hrast / črna  ;in stock;new;279.14 EUR;;https://www.funtrade.net/tv-stojalo-hm-murano-rtv-1-artisan-hrast-crna.html;https://www.funtrade.net/pub/media/catalog/product/a/c/ac270d9a67d133e9f1abab9b7b72e560734c32a13ced562367fdd7ef316d972d.jpeg;HM;2912,1940,1944
2,01E+12;Jedilni stol HM AZUL, črn/siv;Stol AZUL je klasičen in funkcionalen. Prilega se v prostore, kot sta dnevna soba ali kuhinja.   Oblika modela je minimalistična, a izrazita in pritegne poglede mnogih ljudi, ki obiščejo naš dom.  Na dotik prijetna žametna tkanina zagotavlja neverjetno udobje uporabe med številnimi uporabniki.   Privlačne barve stola AZUL vam omogočajo, da uredite notranjost po individualnih zamislih in željah ter poudarite lepoto notranjosti.   Visokokakovostni materiali zagotavljajo dolgotrajno vzdržljivost.     Dimenzije: 50/53/79/44 cm  Material: masiven bukov les / blago - žametna tkanina  Barva: črna/siva;in stock;new;117.12 EUR;;https://www.funtrade.net/jedilni-stol-hm-azul-crn-siv.html;https://www.funtrade.net/pub/media/catalog/product/d/6/d682de0aea261db9726f27de3a74250671ebf07ed20015984046cf1f3adbabcc.jpeg;HM;2896
2,01E+12;Jedilni stol DIEGO 3, prešit žamet Stripes - MONOLITH 37;Dimenzije: 47/59/99/47 cm  Material: masivni bukov les / blag  Barva: prešiti žamet Stripes - MONOLITH 37 (temno zelena);in stock;new;101.50 EUR;;https://www.funtrade.net/jedilni-stol-diego-3-presit-zamet-stripes-monolith-37.html;https://www.funtrade.net/pub/media/catalog/product/3/f/3fe240c85e6d397f83a88174b8579d73929e6b4cd9b66d22d0f3e406a8d9f818.jpeg;HM;2896
